Title,URL,PDF_URL,Authors,Citation
Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics: System Demonstrations,https://aclanthology.org/2022.acl-demo.0/,https://aclanthology.org/2022.acl-demo.0.pdf,"Zornitsa Kozareva, Sanja Stajner",0
DoTAT: A Domain-oriented Text Annotation Tool,https://aclanthology.org/2022.acl-demo.1/,https://aclanthology.org/2022.acl-demo.1.pdf,"Tong Ruan, Ming Liang, Tingting Cai, Wen Du, Yi Wang",0
UKP-SQUARE: An Online Platform for Question Answering Research,https://aclanthology.org/2022.acl-demo.2/,https://aclanthology.org/2022.acl-demo.2.pdf,"Kexin Wang, Rachneet Sachdeva, Gregor Geigle, Max Eichler, Clifton Poth, Hannah Sterz, Haritz Puerto, Leonardo F. R. Ribeiro, Jonas Pfeiffer, Nils Reimers, Gözde Şahin, Iryna Gurevych",0
ViLMedic: a framework for research at the intersection of vision and language in medical AI,https://aclanthology.org/2022.acl-demo.3/,https://aclanthology.org/2022.acl-demo.3.pdf,"Khaled Saab, Maya Varma, Sabri Eyuboglu, Pierre Chambon, Jared Dunnmon, Juan Zambrano, Akshay Chaudhari, Curtis Langlotz",0
TextPruner: A Model Pruning Toolkit for Pre-Trained Language Models,https://aclanthology.org/2022.acl-demo.4/,https://aclanthology.org/2022.acl-demo.4.pdf,"Yiming Cui, Zhigang Chen",0
AnnIE: An Annotation Platform for Constructing Complete Open Information Extraction Benchmark,https://aclanthology.org/2022.acl-demo.5/,https://aclanthology.org/2022.acl-demo.5.pdf,"Kiril Gashteovski, Mingying Yu, Bhushan Kotnis, Carolin Lawrence, Mathias Niepert, Goran Glavaš",0
AdapterHub Playground: Simple and Flexible Few-Shot Learning with Adapters,https://aclanthology.org/2022.acl-demo.6/,https://aclanthology.org/2022.acl-demo.6.pdf,"Bela Bohlender, Christina Viehmann, Vincent Hane, Yanik Adamson, Jaber Khuri, Jonas Brossmann, Jonas Pfeiffer, Iryna Gurevych",0
QiuNiu: A Chinese Lyrics Generation System with Passage-Level Input,https://aclanthology.org/2022.acl-demo.7/,https://aclanthology.org/2022.acl-demo.7.pdf,"Rongsheng Zhang, Xiaoxi Mao, Yongzhu Chang",0
Automatic Gloss Dictionary for Sign Language Learners,https://aclanthology.org/2022.acl-demo.8/,https://aclanthology.org/2022.acl-demo.8.pdf,"Dongxu Li, Hongdong Li, Hanna Suominen, Ben Swift",0
PromptSource: An Integrated Development Environment and Repository for Natural Language Prompts,https://aclanthology.org/2022.acl-demo.9/,https://aclanthology.org/2022.acl-demo.9.pdf,"Victor Sanh, Zheng Xin Yong, Albert Webson, Colin Raffel, Nihal V. Nayak, Abheesht Sharma, Taewoon Kim, M Saiful Bari, Thibault Fevry, Zaid Alyafeai, Manan Dey, Andrea Santilli, Zhiqing Sun, Srulik Ben-david, Canwen Xu, Gunjan Chhablani, Han Wang, Jason Fries, Maged Al-shaibani, Shanya Sharma, Urmish Thakker, Khalid Almubarak, Xiangru Tang, Dragomir Radev, Mike Tian-jian Jiang, Alexander Rush",0
OpenPrompt: An Open-source Framework for Prompt-learning,https://aclanthology.org/2022.acl-demo.10/,https://aclanthology.org/2022.acl-demo.10.pdf,"Shengding Hu, Weilin Zhao, Yulin Chen, Zhiyuan Liu, Haitao Zheng, Maosong Sun",0
Guided K-best Selection for Semantic Parsing Annotation,https://aclanthology.org/2022.acl-demo.11/,https://aclanthology.org/2022.acl-demo.11.pdf,"Chieh-yang Huang, Jacob Andreas, Emmanouil Antonios Platanios, Sam Thomson, Richard Shin, Subhro Roy, Aleksandr Nisnevich, Charles Chen, Benjamin Van Durme",0
Hard and Soft Evaluation of NLP models with BOOtSTrap SAmpling - BooStSa,https://aclanthology.org/2022.acl-demo.12/,https://aclanthology.org/2022.acl-demo.12.pdf,"Alexandra Uma, Massimo Poesio, Dirk Hovy",0
COVID-19 Claim Radar: A Structured Claim Extraction and Tracking System,https://aclanthology.org/2022.acl-demo.13/,https://aclanthology.org/2022.acl-demo.13.pdf,"Revanth Gangi Reddy, Ziqi Wang, Yi-shyuan Chiang, Tuan Lai, Pengfei Yu, Zixuan Zhang, Heng Ji",0
"TS-ANNO: An Annotation Tool to Build, Annotate and Evaluate Text Simplification Corpora",https://aclanthology.org/2022.acl-demo.14/,https://aclanthology.org/2022.acl-demo.14.pdf,Laura Kallmeyer,0
"Language Diversity: Visible to Humans, Exploitable by Machines",https://aclanthology.org/2022.acl-demo.15/,https://aclanthology.org/2022.acl-demo.15.pdf,"Erdenebileg Byambadorj, Yamini Chandrashekar, Khuyagbaatar Batsuren, Danish Cheema, Fausto Giunchiglia",0
CogKGE: A Knowledge Graph Embedding Toolkit and Benchmark for Representing Multi-source and Heterogeneous Knowledge,https://aclanthology.org/2022.acl-demo.16/,https://aclanthology.org/2022.acl-demo.16.pdf,"Tianyi Men, Hongbang Yuan, Zhitao He, Dianbo Sui, Chenhao Wang, Zhipeng Xue, Yubo Chen, Jun Zhao",0
Dynatask: A Framework for Creating Dynamic AI Benchmark Tasks,https://aclanthology.org/2022.acl-demo.17/,https://aclanthology.org/2022.acl-demo.17.pdf,"Kushal Tirumala, Anmol Gupta, Max Bartolo, Pedro Rodriguez, Tariq Kane, William Gaviria Rojas, Peter Mattson, Adina Williams, Douwe Kiela",0
DataLab: A Platform for Data Analysis and Intervention,https://aclanthology.org/2022.acl-demo.18/,https://aclanthology.org/2022.acl-demo.18.pdf,"Jinlan Fu, Weizhe Yuan, Vijay Viswanathan, Zhoumianze Liu, Yixin Liu, Graham Neubig, Pengfei Liu",0
Cue-bot: A Conversational Agent for Assistive Technology,https://aclanthology.org/2022.acl-demo.19/,https://aclanthology.org/2022.acl-demo.19.pdf,"Hsuan Su, Ramesh Manuvinakurike, Maximilian C. Pinaroc, Sai Prasad, Saurav Sahay, Lama Nachman",0
M-SENA: An Integrated Platform for Multimodal Sentiment Analysis,https://aclanthology.org/2022.acl-demo.20/,https://aclanthology.org/2022.acl-demo.20.pdf,"Ziqi Yuan, Hua Xu, Wenmeng Yu, Yihe Liu, Kai Gao",0
HOSMEL: A Hot-Swappable Modularized Entity Linking Toolkit for Chinese,https://aclanthology.org/2022.acl-demo.21/,https://aclanthology.org/2022.acl-demo.21.pdf,"Jing Zhang, Jifan Yu, Xiaokang Zhang, Peng Zhang, Jie Tang, Juanzi Li",0
BMInf: An Efficient Toolkit for Big Model Inference and Tuning,https://aclanthology.org/2022.acl-demo.22/,https://aclanthology.org/2022.acl-demo.22.pdf,"Guoyang Zeng, Weilin Zhao, Zhiyuan Liu, Zhengyan Zhang, Jie Zhou, Jun Zhang, Jia Chao, Maosong Sun",0
MMEKG: Multi-modal Event Knowledge Graph towards Universal Representation across Modalities,https://aclanthology.org/2022.acl-demo.23/,https://aclanthology.org/2022.acl-demo.23.pdf,"Zehao Wang, Mukai Li, Yixin Cao, Meiqi Chen, Xinze Li, Wenqi Sun, Kunquan Deng, Kun Wang, Aixin Sun, Jing Shao",0
SocioFillmore: A Tool for Discovering Perspectives,https://aclanthology.org/2022.acl-demo.24/,https://aclanthology.org/2022.acl-demo.24.pdf,"Sara Gemelli, Chiara Zanchi, Tommaso Caselli, Malvina Nissim",0
TimeLMs: Diachronic Language Models from Twitter,https://aclanthology.org/2022.acl-demo.25/,https://aclanthology.org/2022.acl-demo.25.pdf,"Francesco Barbieri, Leonardo Neves, Luis Espinosa Anke, Jose Camacho-collados",0
Adaptor: Objective-Centric Adaptation Framework for Language Models,https://aclanthology.org/2022.acl-demo.26/,https://aclanthology.org/2022.acl-demo.26.pdf,"Vít Novotný, Nikola Groverová, Petr Sojka",0
QuickGraph: A Rapid Annotation Tool for Knowledge Graph Extraction from Technical Text,https://aclanthology.org/2022.acl-demo.27/,https://aclanthology.org/2022.acl-demo.27.pdf,"Michael Stewart, Wei Liu",0
